id;title
b24293982;Basic Mathematics Sixth Edition
b24294391;Basic Mathematics Sixth Edition
b24294640;Basic Mathematics Sixth Edition
b24297306;Basic Mathematics Sixth Edition
b24316301;Basingstoke-Runcorun [three reels]
b24806961;Basingstoke-Runcorun [three reels]
b24806973;Basingstoke-Runcorun [three reels]
b33001996;Bastards
b24275414;Bath Waters
b24313439;Battle for Glasnost The
b24279699;Battle For the Bible The
b43892978;Battle For the Bible The
b24299042;Battle For The Minds
b24283046;Battle of Algiers
b24278245;Battle of Algiers. Reel 1 of 3.
b24787292;Battle of Algiers. Reel 2 of 3.
b24787310;Battle of Algiers. Reel 3 of 3.
b30668268;Battle of Austerlitz
b24319302;Battle of Chile, The, Part 1: The Insurrection of the Bourgeoisie
b24319314;Battle of Chile, The, Part 2: The Coup d'Etat
b24319326;Battle of Chile, The, Part 3: The Power of the People
b24292588;Battle of Culloden The. Reel 1 of 2.
b24787322;Battle of Culloden The. Reel 2 of 2.
b24285638;Battle of Dien Bien Phu
b37623928;Battlefield Diaries
b24317020;Battlefield Vietnam: Air War
b24317068;Battlefield Vietnam: Countdown to Tet
b24317019;Battlefield Vietnam: Dien Bien Phu: the Legacy
b24318516;Battlefield Vietnam: Fall of Saigon The
b2431710x;Battlefield Vietnam: Peace with Honor
b24317032;Battlefield Vietnam: Rolling Thunder
b24317044;Battlefield Vietnam: Search and Destroy
b24317056;Battlefield Vietnam: Showdown in the Iron Triangle
b24317081;Battlefield Vietnam: Siege at Khe Sanh
b24317093;Battlefield Vietnam: Tet Offensive The
b24318528;Battlefield Vietnam: Undeclared War The
b2431707x;Battlefield Vietnam: War on the DMZ
b29657532;Battleship Potemkin, The
b24314882;Bauhaus: Machine Engineering & Decorative Arts
b2427530x;BB King and Friends
b24669180;Be the Man [videorecording].
b24305546;Beautiful Baby Boy But A
b24287520;Beautiful Children
b26710882;Beauty and the Beast
b42955774;Beauty and the Best
b24297288;Beckett and the Television Text
b43110587;Beckett and the Television Text
b24319181;Becoming the Buddha in LA
b30668207;Bedwin Hacker
b51142909;Before and After Stonewall
b51142910;Before and After Stonewall\
b24297173;Before Stonewall
b51142892;Before Stonewall
b51142880;Before Stonewall
b24303185;Before the Alphabet
b24271342;Before the Nickelodeon
b24294342;Before the Nickelodeon
b24274240;Beggar's Opera The
b24289589;Beginnings of Capitalism
b43771038;Beginnings of Capitalism
b24304013;Beginnings of Modern Science The
b24295139;Behavior Theory in Practice Part 1
b24289279;Behavior Theory in Practice Part 2
b2429455x;Behavior Theory in Practice Part 3
b24293453;Behavior Theory in Practice Part 4
b24287982;Behavioral Counseling Seminar
b24317809;Behavioral Economics Steven Hursh
b24317780;Behavioral Momentum John Nevin
b24293416;Behavioral Principles for Parents
b24304256;Behavioral Treatment of Autistic Children
b24318279;Behind the Scenes Julie Taymor: Setting a Scene
b44825560;Being John Malkovich
b44825596;Being John Malkovich
b51115323;Being There
b51115335;Being There
b45510866;Belle Epoque (The Age of Beauty)
b24270817;Belle of Amherst
b24310037;Belmont Report: Basic Ethical Principles and their Applications The
b24298773;Ben's Mill
b2427415x;Bentsen-Quayle Vice Presidential Debate
b43879056;Bentsen-Quayle Vice Presidential Debate
b24282662;Beowulf
b35923775;Beowulf
b35923787;Beowulf: Director's Cut
b24288238;Bergstrasse
b43765348;Bergstrasse
b2426975x;Berlin
b24304049;Berlin
b43270426;Berlin
b43769962;Berlin
b24285213;Bertold Brecht
